,Process,Accepted,Inclusion_Rate,Adaptation_Rate,Cost,Frequency,Purchased,Rides,Ending_Position,Starting_Position,Value
8231,Inventory Reporting Product,0,69,74,278.576,76,481.15,7.5,"[40.7732811, -73.96195984]","[40.76550674, -73.95474243]",44
8232,Inventory Reporting Product,1,14,8,242.24,76,112.3,37.5,"[40.75834274, -73.96240997]","[40.76407242, -73.97333527]",27
8233,Inventory Reporting Product,1,73,91,411.808,611,58.95,26,"[40.76686096, -73.98344421]","[40.75106049, -73.97462463]",30
8234,Inventory Reporting Product,1,89,32,60.56,127,696.6,20.5,"[40.75894165, -73.91217041]","[40.76019669, -73.97964478]",21
8235,Inventory Reporting Product,1,8,55,327.024,723,910.3,17.5,"[40.74298859, -73.98935699]","[40.80129242, -73.95974731]",35
8236,Inventory Reporting Product,0,41,27,327.024,165,741.25,13,"[40.75072479, -73.89214325]","[40.759838099999996, -73.97177124]",37
8237,Inventory Reporting Product,1,88,47,145.344,665,202.85,17.5,"[40.79618835, -73.93535614]","[40.76984787, -73.96696472]",56
8238,Inventory Reporting Product,0,100,4,36.336,896,125.4,22,"[40.75072479, -73.89214325]","[40.730636600000004, -74.00267792]",37
8239,Inventory Reporting Product,1,92,42,351.248,102,903.05,4.5,"[0.0, 0.0]","[40.74240875, -73.98387146]",28
8240,Inventory Reporting Product,0,40,99,121.12,653,585.65,15,"[40.78335953, -73.95494843]","[40.74933243, -73.97954559]",42
8241,Inventory Reporting Product,1,32,7,423.92,632,951.7,27.5,"[40.73464584, -73.98852539]","[40.76550674, -73.95474243]",49
8242,Inventory Reporting Product,0,24,9,145.344,722,84.4,33.5,"[40.70835876, -74.01419067]","[40.72014236, -73.98835754]",58
8243,Inventory Reporting Product,0,51,69,109.008,280,951.6,26.5,"[40.75764084, -73.96361542]","[40.75601196, -73.97149658]",38
8244,Inventory Reporting Product,1,40,69,36.336,371,521.9,30,"[40.75030136, -73.99487305]","[40.79478073, -73.97190094]",58
8245,Inventory Reporting Product,0,43,4,351.248,392,32.3,20.5,"[40.71479034, -74.01376343]","[40.73356247, -73.97650146]",23
8246,Inventory Reporting Product,1,56,48,230.128,530,809.45,39.5,"[40.75383759, -73.99596405]","[40.72153854, -73.9890213]",23
8247,Inventory Reporting Product,0,25,99,290.688,299,577.6,15.5,"[40.78369141, -73.97364807]","[40.67956543, -73.98455048]",33
8248,Inventory Reporting Product,1,57,71,339.136,195,578.25,43.5,"[40.73073578, -73.94842529]","[40.76895142, -73.98516083]",42
8249,Inventory Reporting Product,0,39,89,218.016,703,964.15,3.5,"[40.77645874, -73.97589111]","[40.77143478, -73.95632935]",59
8250,Inventory Reporting Product,0,32,35,496.592,220,189.8,39,"[40.73423004, -73.98980713]","[40.77501678, -73.96305847]",42
8251,Inventory Reporting Product,1,49,97,12.112,617,961.25,29.5,"[40.73464584, -73.98852539]","[40.72647095, -73.99420166]",27
8252,Inventory Reporting Product,0,79,83,60.56,659,396.1,40.5,"[40.75130081, -74.00794983]","[40.67211533, -73.95303345]",58
8253,Inventory Reporting Service,1,18,36,72.672,776,222.1,32.5,"[40.78892517, -73.95027161]","[40.76404953, -73.95558929]",37
8254,Inventory Reporting Service,0,72,80,460.256,54,104.15,2,"[40.75894165, -73.91217041]","[40.78183365, -73.97188568]",59
8255,Inventory Reporting Service,0,73,66,472.368,447,419.9,27.5,"[40.76491547, -73.97251129]","[40.74206924, -74.00806427]",59
8256,Inventory Reporting Service,1,44,78,24.224,213,844.85,45,"[40.7985878, -73.97141266]","[40.77143478, -73.95632935]",60
8257,Inventory Reporting Service,0,40,4,254.352,361,579.65,42,"[40.73423004, -73.98980713]","[40.77317429, -73.95517731]",25
8258,Inventory Reporting Service,0,89,71,375.472,705,121.65,32,"[40.674392700000006, -73.95662689]","[40.75234985, -74.00081635]",20
8259,Inventory Reporting Service,0,94,38,448.144,177,882.65,16,"[40.73992157, -73.99156189]","[40.78459167, -73.96990967]",57
8260,Inventory Reporting Service,1,29,28,302.8,538,689.4,15,"[40.77069855, -73.94874573]","[40.78461838, -73.94969177]",52
8261,Inventory Reporting Service,1,37,65,351.248,575,722.95,37.5,"[40.75725174, -73.96369934]","[40.78367615, -73.97794342]",33
8262,Inventory Reporting Service,1,50,43,12.112,115,369.1,31,"[40.80126572, -73.96988678]","[40.76404953, -73.95558929]",37
8263,Inventory Reporting Service,0,3,23,205.904,37,604.05,2,"[40.75139999, -73.99690247]","[40.75685883, -73.96755219]",56
8264,Inventory Reporting Service,0,66,57,532.928,374,969.35,2,"[40.63483429, -73.89250183]","[40.71480942, -74.01625061]",23
8265,Inventory Reporting Service,1,6,50,60.56,782,395.65,2.5,"[40.7491684, -73.99124908]","[40.71509171, -74.01598358]",47
8266,Inventory Reporting Service,1,0,54,339.136,62,477.2,9.5,"[40.72063446, -73.99514771]","[40.74409103, -73.99575043]",20
8267,Inventory Reporting Service,0,12,78,36.336,881,545.5,40.5,"[40.72790527, -73.99918365]","[40.73961639, -73.99256897]",21
8268,Inventory Reporting Service,1,44,68,24.224,139,524.65,45,"[40.76442719, -73.97344208]","[40.72658920000001, -73.98916626]",41
8269,Inventory Reporting Service,0,12,34,387.584,239,780.4,26,"[40.73268127, -73.98566437]","[40.75056839, -73.9877243]",52
8270,Inventory Reporting Service,1,53,41,96.896,430,988.9,23.5,"[40.73482132, -73.98304749]","[40.76947021, -73.96102142]",34
8271,Inventory Reporting Service,0,85,58,375.472,874,300.9,25,"[40.7732811, -73.96195984]","[40.74451065, -73.98545074]",45
8272,Inventory Reporting Service,0,18,98,157.456,853,888.45,2.5,"[40.78858185, -73.94892883]","[40.76777267, -73.99586487]",56
8273,Inventory Reporting Service,0,59,88,472.368,698,133.05,14.5,"[40.72052383, -74.32032776]","[40.72017288, -73.99906921]",60
8274,Inventory Reporting Service,0,35,58,411.808,63,739.85,44,"[40.77203369, -73.94992065]","[40.64486313, -73.78180695]",53
8275,Inventory Reporting Service,0,83,53,484.48,845,988.65,36.5,"[40.64369965, -73.78350067]","[40.76777267, -73.99586487]",27
8276,Inventory Reporting Service,1,84,85,72.672,823,36.25,28,"[40.74521637, -73.98146057]","[40.71709061, -73.99549103]",44
8277,Inventory Reporting Service,0,25,21,496.592,592,365.55,40.5,"[40.73408127, -73.98933411]","[40.71841049, -74.01052094]",31
8278,Inventory Reporting Service,1,91,99,302.8,421,982.25,38,"[40.76633835, -73.96105194]","[40.71480942, -74.01625061]",30
8279,Inventory Reporting Service,1,65,27,278.576,491,709.25,27.5,"[40.76241302, -73.96797943]","[40.77116013, -73.96375275]",26
8280,Inventory Reporting Team,1,44,50,351.248,824,756.35,32,"[40.78177261, -73.97206116]","[40.73036957, -74.00226593]",51
8281,Inventory Reporting Team,0,25,98,387.584,278,735.6,13,"[40.73819733, -73.98422241]","[40.75969315, -73.96589661]",33
8282,Inventory Reporting Team,0,4,33,24.224,382,241.85,9.5,"[40.6925621, -73.95480347]","[40.76820374, -73.95571899]",59
8283,Inventory Reporting Team,0,1,39,387.584,449,254.15,8,"[40.74510574, -73.9764328]","[40.75014114, -73.97733307]",33
8284,Inventory Reporting Team,0,95,32,448.144,409,459.75,39.5,"[40.77605057, -73.95585632]","[40.71841049, -74.01052094]",32
8285,Inventory Reporting Team,1,32,92,145.344,219,983.45,32,"[40.773151399999996, -73.97837067]","[40.73612595, -74.00835419]",30
8286,Inventory Reporting Team,0,21,14,48.448,505,160.05,4,"[40.80493164, -73.96251678]","[40.75671387, -73.99394226]",40
8287,Inventory Reporting Team,1,90,58,448.144,225,935.1,9.5,"[40.73240662, -73.98184204]","[40.71595764, -74.00466919]",33
8288,Inventory Reporting Team,1,51,58,181.68,415,410.75,17,"[40.77880096, -73.95174408]","[40.71509171, -74.01598358]",21
8289,Inventory Reporting Team,0,64,85,242.24,75,881.7,26,"[40.73498154, -73.99124146]","[40.76404953, -73.95558929]",35
8290,Inventory Reporting Team,0,3,6,351.248,663,743.3,5.5,"[40.86139297, -73.92446136]","[40.782444, -73.98064423]",51
8291,Inventory Reporting Team,0,49,91,169.568,445,28,25,"[40.76629257, -73.96662140000001]","[40.77611923, -73.9796524]",51
8292,Inventory Reporting Team,0,27,13,145.344,34,790.75,27,"[40.74137497, -73.92160797]","[40.76222229, -73.96617889]",29
8293,Inventory Reporting Team,1,21,56,399.696,569,924.85,2,"[40.73073578, -73.94842529]","[40.80292892, -73.93352509]",41
8294,Inventory Reporting Team,0,31,2,399.696,343,766.9,22.5,"[40.86139297, -73.92446136]","[40.77247620000001, -73.98202515]",20
8295,Inventory Reporting Team,1,85,88,121.12,851,589.15,9,"[40.75834274, -73.96240997]","[40.77317429, -73.95517731]",37
8296,Inventory Reporting Team,1,87,70,60.56,467,103.75,6.5,"[40.76055527, -73.97976685]","[40.71217346, -73.96391296]",51
8297,Inventory Reporting Team,1,93,44,290.688,558,671.1,28.5,"[40.70693588, -74.00736237]","[40.75286102, -73.93270874]",20
8298,Inventory Reporting Team,1,33,3,375.472,125,863.95,3.5,"[40.71913147, -74.00527191]","[40.6440506, -73.78713989]",23
8299,Inventory Reporting Team,0,28,69,508.704,658,719.5,11.5,"[40.76629257, -73.96662140000001]","[40.73940659, -74.00189972]",38
8300,Inventory Reporting Team,0,24,74,508.704,851,213.45,42.5,"[40.74425125, -73.99568939]","[40.77191162, -73.98275757]",24
8301,Inventory Reporting Team,0,31,90,484.48,78,454.5,18,"[40.80675507, -73.96468353]","[40.68672943, -73.99602509]",22
8302,Inventory Reporting Team,0,88,7,24.224,291,322.6,36,"[40.75853348, -73.97695159999999]","[40.75111771, -73.99071503]",22
8303,Inventory Reporting Team,1,87,37,290.688,181,150.5,19,"[40.74932098, -73.98805237]","[40.74933243, -73.97954559]",56
8304,Inventory Reporting Team,1,69,27,508.704,302,157.4,35.5,"[40.71620178, -74.01474762]","[40.75455856, -73.99165344]",31
8305,Inventory Reporting Team,0,66,80,48.448,627,405.05,34.5,"[40.74923706, -74.00220490000001]","[40.74452972, -73.98516083]",44
8306,Inventory Reporting Team,0,18,82,387.584,206,398.55,25,"[40.76414871, -73.99214935]","[40.76404953, -73.95558929]",47
8307,Inventory Reporting Team,0,57,8,423.92,618,377.55,13.5,"[40.84856033, -73.9387207]","[40.72014236, -73.98835754]",47
8308,Inventory Reporting Team,0,12,20,36.336,781,87.5,45,"[40.74923706, -74.00220490000001]","[40.68672943, -73.99602509]",32
8309,Inventory Reporting Team,1,9,98,193.792,119,886.7,42,"[40.77605057, -73.95585632]","[40.77116013, -73.96375275]",37
8310,Inventory Reporting Team,1,7,12,290.688,282,623.2,35,"[40.76393127, -73.97605896]","[40.78488159, -73.97921753]",47
8311,Inventory Reporting Team,0,70,28,145.344,880,542.4,19,"[40.76462936, -73.91187286]","[40.73851013, -73.99958038]",32
8312,Operations Communication Group,0,77,95,314.912,582,538.15,22,"[40.72859192, -73.99854279]","[40.82948303, -73.94184875]",26
8313,Operations Communication Group,1,23,91,145.344,879,287.9,3.5,"[40.70816803, -74.00337219]","[40.79436111, -73.94271088]",26
8314,Operations Communication Group,0,49,98,327.024,610,665.05,14.5,"[40.75147247, -74.00363159]","[40.76023483, -73.99497223]",40
8315,Operations Communication Group,1,44,93,460.256,616,497.05,4.5,"[40.77423096, -73.96350861]","[40.75115204, -73.94010925]",50
8316,Operations Communication Group,0,81,25,48.448,761,208.05,30.5,"[40.71603775, -74.01580811]","[40.73083878, -74.00095367]",41
8317,Operations Communication Group,0,26,34,169.568,240,511.25,21.5,"[40.77349854, -73.95168304]","[40.71846008, -74.00520325]",37
8318,Operations Communication Group,1,49,10,60.56,407,705.95,44,"[40.76314163, -73.91349029999999]","[40.7562561, -73.99021912]",21
8319,Operations Communication Group,0,21,60,339.136,464,347.85,8.5,"[40.7385025, -73.99201202]","[40.7336998, -73.97679138]",22
8320,Operations Communication Group,0,9,49,181.68,881,827.3,8.5,"[40.73880768, -73.99132538]","[40.76163864, -73.96685028]",33
8321,Operations Communication Group,0,97,98,302.8,312,268.4,37,"[40.75054932, -73.99459076]","[40.75666046, -73.97434235]",42
8322,Operations Communication Group,1,13,53,230.128,55,99.05,27.5,"[40.75741577, -73.98961639]","[40.7961998, -73.96125793]",56
8323,Operations Communication Group,0,53,37,520.816,57,263.7,2.5,"[40.75789261, -73.97076416]","[40.75234985, -74.00081635]",25
8324,Operations Communication Group,0,57,85,36.336,614,507.55,9.5,"[40.75553894, -73.97975159]","[40.75685883, -73.96755219]",29
8325,Operations Communication Group,1,75,66,254.352,11,966.6,4.5,"[40.74251938, -73.99954987]","[40.64476013, -73.78192139]",38
8326,Operations Communication Group,0,76,94,411.808,591,831.6,33.5,"[40.76324081, -73.98253632]","[40.76777267, -73.99586487]",35
8327,Operations Communication Group,0,47,72,508.704,353,337.2,27,"[40.76163864, -73.96833038]","[40.79120636, -73.96520996]",28
8328,Operations Communication Group,1,42,31,460.256,618,424.85,5,"[40.77645874, -73.97589111]","[40.80129242, -73.95974731]",48
8329,Operations Communication Group,0,32,15,496.592,454,768,39.5,"[40.74345016, -73.97289276]","[0.0, 0.0]",60
8330,Operations Communication Group,0,48,53,72.672,757,912.25,5.5,"[40.7603035, -73.98752594]","[40.78263092, -73.94828033]",59
8331,Operations Communication Group,1,69,7,181.68,251,143.4,7.5,"[40.72101212, -74.00107574]","[40.72039032, -73.99267578]",23
8332,Operations Communication Group,0,57,21,399.696,232,72.25,15,"[40.73403549, -74.00247192]","[40.72050095, -73.99694824]",38
8333,Operations Communication Group,0,7,26,278.576,36,115.15,43.5,"[40.777980799999995, -73.94556427]","[40.72400284, -73.99771118]",56
8334,Operations Communication Group,0,99,75,145.344,428,998.65,18.5,"[40.75894165, -73.91217041]","[40.79513168, -73.96494293]",27
8335,Operations Communication Group,1,24,44,133.232,281,605.85,7,"[40.74118042, -73.98980713]","[40.77469635, -73.98210144]",49
8336,Operations Communication Group,0,97,22,84.784,813,962.75,35.5,"[40.72151566, -73.98368835]","[40.75234985, -74.00081635]",26
8337,Operations Communication Group,0,81,34,278.576,235,513,24,"[40.76816177, -73.96286011]","[40.71899033, -73.99346924]",41
8338,Operations Communication Group,1,55,16,520.816,606,107.7,13,"[40.76251984, -73.97697449]","[40.71743774, -74.01063538]",50
8339,Operations Communication Group,0,21,48,230.128,713,353,23,"[40.89178848, -73.85426331]","[40.68285751, -73.99788666]",21
8340,Operations Communication Group,0,10,27,133.232,471,943.85,18,"[40.71276093, -74.00975037]","[40.75014114, -73.97733307]",34
8341,Operations Communication Group,1,2,26,484.48,4,294.25,26,"[40.76977158, -73.99504089]","[40.73083878, -74.00095367]",21
8342,Operations Communication Group,0,82,47,109.008,845,809.3,44.5,"[40.77423096, -73.96350861]","[40.78183365, -73.97188568]",36
8343,Operations Communication Group,0,67,46,193.792,799,553.2,44,"[40.77465057, -73.96115875]","[40.74909973, -73.97567749]",21
8344,Operations Communication Group,1,80,25,121.12,757,576.4,43.5,"[40.77203751, -73.95623016]","[40.72039032, -73.99267578]",44
8345,Operations Communication Office,0,47,88,302.8,612,835.25,21.5,"[40.76989365, -73.98430634]","[40.74522018, -74.00592804]",48
8346,Operations Communication Office,0,94,12,290.688,314,356.3,2,"[40.75761414, -73.97164154]","[40.6440506, -73.78713989]",23
8347,Operations Communication Office,1,65,3,520.816,697,985.35,1,"[40.76163864, -73.96833038]","[40.78461838, -73.94969177]",38
8348,Operations Communication Office,1,16,97,278.576,645,795.85,25.5,"[40.77645874, -73.97589111]","[40.75136948, -73.98239899]",38
8349,Operations Communication Office,0,55,10,36.336,799,778.25,24,"[40.71276093, -74.00975037]","[40.76163864, -73.96685028]",24
8350,Operations Communication Office,0,17,76,411.808,145,814.7,20,"[40.78512955, -73.95369720000001]","[40.73944092, -73.98693848]",32
8351,Operations Communication Office,0,29,85,508.704,403,304.15,29.5,"[40.73819733, -73.98422241]","[40.77487946, -73.98215485]",47
8352,Operations Communication Office,1,22,1,387.584,67,505.7,35.5,"[40.73240662, -73.98184204]","[40.77611923, -73.9796524]",22
8353,Operations Communication Office,0,55,11,363.36,440,158.45,1.5,"[40.71966171, -73.99439240000001]","[40.72389221, -73.99133301]",22
8354,Operations Communication Office,0,35,28,399.696,68,71.75,11,"[40.80493164, -73.96251678]","[40.76848221, -73.95570374]",28
8355,Operations Communication Office,1,50,57,84.784,291,102.85,40,"[40.7560997, -73.97008514]","[40.7342186, -73.99903107]",56
8356,Operations Communication Office,0,3,30,48.448,130,247.65,18,"[40.71102905, -74.00837708]","[40.74491501, -73.99783325]",27
8357,Operations Communication Office,1,66,97,508.704,859,405.2,22,"[40.73994827, -73.98949432]","[40.74050903, -73.97915649]",58
8358,Operations Communication Office,0,26,13,145.344,447,957.65,33.5,"[0.0, 0.0]","[0.0, 0.0]",23
8359,Operations Communication Office,1,91,100,230.128,343,349.85,8,"[40.77375793, -73.87052917]","[40.75234985, -74.00081635]",51
8360,Operations Communication Office,0,43,58,411.808,602,395.15,24.5,"[40.74802017, -73.98296356]","[40.80129242, -73.95974731]",32
8361,Operations Communication Office,1,57,23,109.008,117,656.2,8,"[40.75374222, -73.97485352]","[40.64476013, -73.78192139]",40
8362,Operations Communication Office,1,3,39,314.912,708,583.05,37,"[40.76462936, -73.91187286]","[40.75136948, -73.98239899]",54
8363,Operations Communication Office,0,94,94,218.016,260,687.75,19.5,"[40.76285172, -73.96546173]","[40.77487946, -73.98215485]",53
8364,Operations Communication Office,0,49,76,169.568,395,718.5,6,"[40.60917664, -73.99208832]","[40.71217346, -73.96391296]",20
8365,Operations Communication Office,1,100,30,205.904,98,188.4,30,"[40.76579285, -73.98306274]","[40.76467133, -73.9956131]",36
8366,Operations Communication Office,0,18,16,508.704,259,95.85,35,"[40.80475998, -73.95410156]","[40.78461838, -73.94969177]",60
8367,Operations Communication Office,0,98,26,520.816,898,5.75,27.5,"[40.76136017, -73.98381042]","[40.70887375, -74.01099396]",37
8368,Operations Communication Office,0,58,84,109.008,673,226.8,12,"[40.75656128, -73.97338867]","[40.6440506, -73.78713989]",22
8369,Operations Communication Office,1,38,48,520.816,403,469.05,10.5,"[40.6925621, -73.95480347]","[40.72039032, -73.99267578]",20
8370,Operations Communication Process,0,15,58,532.928,126,202.8,22,"[40.73403549, -74.00247192]","[40.76701736, -73.95657349]",32
8371,Operations Communication Process,1,70,13,84.784,407,263.25,34.5,"[40.71976471, -73.99317169]","[40.78133011, -73.96062469]",22
8372,Operations Communication Process,1,97,23,254.352,452,711.5,2,"[40.72204971, -74.00308228]","[40.76023483, -73.99497223]",23
8373,Operations Communication Process,1,33,71,109.008,639,918.15,13.5,"[0.0, 0.0]","[40.71966934, -73.99803162]",31
8374,Operations Communication Process,1,46,7,169.568,663,36.7,2,"[40.73240662, -73.98184204]","[40.74240875, -73.98387146]",40
8375,Operations Communication Process,0,23,49,157.456,598,715.05,14.5,"[40.63483429, -73.89250183]","[40.68285751, -73.99788666]",22
8376,Operations Communication Process,1,58,26,387.584,209,859.4,44,"[40.82293320000001, -73.95064545]","[40.74909973, -73.97567749]",23
8377,Operations Communication Process,1,7,44,278.576,229,514.85,10,"[40.75130081, -74.00794983]","[40.77048874, -73.95726013]",59
8378,Operations Communication Process,0,54,88,230.128,57,548.95,30,"[0.0, 0.0]","[40.75260162, -73.97293091]",30
8379,Operations Communication Process,1,33,35,266.464,504,210.7,27.5,"[40.7555809, -73.92842102]","[40.74973679, -73.99120331]",32
8380,Operations Communication Process,1,40,51,375.472,35,191.4,31,"[40.78335953, -73.95494843]","[40.76163864, -73.96685028]",49
8381,Operations Communication Process,1,2,28,399.696,646,597.85,45,"[40.80315399, -73.96417999]","[40.79104614, -73.94715118]",26
8382,Operations Communication Process,0,40,68,145.344,463,192.1,35.5,"[40.72621155, -73.98042297]","[40.782444, -73.98064423]",20
8383,Operations Communication Process,1,75,2,218.016,813,551.95,41.5,"[40.68455124, -73.97881317]","[40.7522583, -73.97512054]",43
8384,Operations Communication Process,0,35,65,242.24,467,566.15,30.5,"[40.80475998, -73.95410156]","[40.77487946, -73.98215485]",55
8385,Operations Communication Process,1,6,69,254.352,55,975.7,26,"[40.72902679, -73.9992218]","[40.71509171, -74.01598358]",39
8386,Operations Communication Process,0,32,72,169.568,302,816.25,12,"[40.73403549, -74.00247192]","[40.75120163, -73.99398041]",57
8387,Operations Communication Process,1,75,22,363.36,31,780,37,"[40.75553894, -73.97975159]","[40.77048874, -73.95726013]",53
8388,Operations Communication Process,1,15,78,181.68,699,462,42.5,"[40.76374435, -73.97599029999999]","[40.7342186, -73.99903107]",50
8389,Operations Communication Process,0,20,84,423.92,22,135.8,27.5,"[40.75374222, -73.97485352]","[40.71480942, -74.01625061]",35
8390,Operations Communication Process,0,37,13,157.456,225,668.25,29.5,"[40.79439545, -73.96643829]","[40.730636600000004, -74.00267792]",28
8391,Operations Communication Product,1,60,90,314.912,443,213.75,23.5,"[40.79228973, -73.9384613]","[40.73516083, -73.97987366]",20
8392,Operations Communication Product,1,52,88,520.816,125,46.7,39.5,"[40.7603035, -73.98752594]","[40.71905518, -74.00878143]",21
8393,Operations Communication Product,1,40,43,12.112,464,642.7,39.5,"[40.79670715, -73.97093964]","[40.75730515, -73.98999023]",46
8394,Operations Communication Product,0,19,37,218.016,649,600.35,29.5,"[40.72621155, -73.98042297]","[40.73696136, -73.99713135]",24
8395,Operations Communication Product,1,19,85,48.448,890,216.55,7,"[40.75426102, -73.97859955]","[0.0, 0.0]",46
8396,Operations Communication Product,0,99,25,218.016,311,310.25,22,"[40.74251938, -73.99954987]","[40.71460724, -74.01483917]",50
8397,Operations Communication Product,1,19,57,339.136,267,223.2,24,"[40.85154724, -73.91590118]","[40.78794098, -73.97458649]",50
8398,Operations Communication Product,0,99,79,387.584,873,962.7,42.5,"[40.76173019, -73.99022675]","[40.78109741, -73.95603179999999]",54
8399,Operations Communication Product,1,21,73,193.792,649,834.25,23,"[40.74425125, -73.99568939]","[40.76573563, -73.95491028]",20
8400,Operations Communication Product,0,23,94,36.336,112,155.8,34,"[40.74802017, -73.98296356]","[40.77487946, -73.98215485]",30
8401,Operations Communication Product,1,11,28,460.256,213,384.85,30.5,"[40.81517029, -73.94747925]","[40.74716568, -73.98508453]",48
8402,Operations Communication Product,0,7,81,351.248,10,78.2,27.5,"[40.74761963, -73.98046112]","[40.7429924, -73.97399902]",60
8403,Operations Communication Product,1,63,16,399.696,98,777.7,40,"[40.72052383, -74.32032776]","[0.0, 0.0]",32
8404,Operations Communication Product,0,85,70,193.792,319,715.2,37.5,"[40.71667862, -73.94447327]","[40.76407242, -73.97333527]",42
8405,Operations Communication Product,0,23,39,72.672,466,612,30.5,"[40.758903499999995, -73.97261047]","[40.75730515, -73.98999023]",29
8406,Operations Communication Product,0,63,0,508.704,732,861,39.5,"[40.78335953, -73.95494843]","[40.79104614, -73.94715118]",47
8407,Operations Communication Product,0,27,80,60.56,223,111.3,31,"[40.66186905, -73.97924805]","[40.71595764, -74.00466919]",29
8408,Operations Communication Product,0,67,34,205.904,676,343.6,16,"[40.72024155, -74.01009369]","[40.67211533, -73.95303345]",53
8409,Operations Communication Product,0,11,64,532.928,885,981.05,44,"[40.74932098, -73.98805237]","[40.78183365, -73.97188568]",50
8410,Operations Communication Product,1,20,87,181.68,393,490.4,3,"[40.75366211, -73.9664917]","[40.64486313, -73.78180695]",24
8411,Operations Communication Product,0,98,48,254.352,386,19,13.5,"[40.86139297, -73.92446136]","[40.746521, -73.97254944]",40
8412,Operations Communication Product,1,39,37,205.904,408,581.5,33,"[40.75072479, -73.89214325]","[40.74452972, -73.98516083]",42
8413,Operations Communication Service,0,13,96,193.792,796,409.6,11,"[40.73268127, -73.98566437]","[40.75111771, -73.99071503]",34
8414,Operations Communication Service,0,7,67,363.36,388,550.75,27,"[40.76579285, -73.98306274]","[40.77317429, -73.95517731]",25
8415,Operations Communication Service,1,15,34,181.68,702,739.5,32.5,"[40.79871368, -73.96331024]","[40.73199463, -73.99425507]",53
8416,Operations Communication Service,0,49,14,302.8,4,119.15,37.5,"[40.78731155, -73.95005035]","[40.73095322, -73.98578644]",57
8417,Operations Communication Service,1,52,25,266.464,4,881,18.5,"[40.75040054, -73.99480438]","[40.77247620000001, -73.98202515]",40
8418,Operations Communication Service,1,15,61,121.12,863,908.5,33.5,"[40.74010086, -73.99050140000001]","[40.74690247, -73.99336243]",21
8419,Operations Communication Service,1,50,95,460.256,228,249.6,20,"[40.7088089, -74.01053619]","[0.0, 0.0]",24
8420,Operations Communication Service,1,40,56,230.128,335,894.8,19.5,"[40.75529099, -73.86997986]","[40.73730087, -73.99655151]",46
8421,Operations Communication Service,0,16,12,205.904,476,377,2,"[40.71913147, -74.00527191]","[40.75770187, -73.98223877]",47
8422,Operations Communication Service,1,11,4,351.248,724,755.8,33,"[40.72179031, -73.95818329]","[40.78794098, -73.97458649]",40
8423,Operations Communication Service,1,100,38,314.912,159,956.6,33,"[40.76629257, -73.96662140000001]","[40.79764175, -73.97100067]",59
8424,Operations Communication Service,0,39,11,460.256,141,241.2,43,"[40.74642181, -73.9728775]","[40.7295723, -73.97856903]",33
8425,Operations Communication Service,1,38,74,290.688,694,279.45,18,"[40.76989365, -73.98430634]","[40.78183365, -73.97188568]",23
8426,Operations Communication Service,1,68,13,60.56,638,197.55,36.5,"[40.73636627, -73.98124695]","[40.71899033, -73.99346924]",60
8427,Operations Communication Service,0,17,62,36.336,736,169,7.5,"[40.81517029, -73.94747925]","[40.78367615, -73.97794342]",28
8428,Operations Communication Service,0,34,73,84.784,900,634.55,4.5,"[40.75764084, -73.96361542]","[40.78274536, -73.95953369]",59
8429,Operations Communication Service,1,2,44,12.112,5,309.9,3,"[40.76807022, -73.95682526]","[40.79478073, -73.97190094]",45
8430,Operations Communication Service,0,25,56,448.144,152,161.6,8.5,"[40.71102905, -74.00837708]","[40.75932312, -73.99577332]",24
8431,Operations Communication Service,1,81,51,363.36,879,59.55,6.5,"[40.75371552, -73.98148346]","[40.79536057, -73.97309113]",46
8432,Operations Communication Service,0,71,58,460.256,302,558.35,6,"[40.86139297, -73.92446136]","[40.74522018, -74.00592804]",26
8433,Operations Communication Service,1,24,87,48.448,725,772.3,33,"[40.753944399999995, -73.99203491]","[40.76404953, -73.95558929]",57
8434,Operations Communication Service,0,1,33,520.816,90,882.5,36.5,"[40.73197174, -73.9881897]","[40.78115082, -73.9495697]",36
8435,Operations Communication Service,0,83,38,327.024,660,108.2,35.5,"[40.76251984, -73.97697449]","[40.76404953, -73.95558929]",48
8436,Operations Communication Team,0,30,54,24.224,434,275.55,24,"[40.75426102, -73.97859955]","[40.77373886, -73.98165894]",35
8437,Operations Communication Team,0,91,28,532.928,578,461.05,41,"[40.758514399999996, -73.97726440000001]","[40.72182083, -74.00428009]",58
8438,Operations Communication Team,1,55,14,363.36,514,605.3,29.5,"[40.75054932, -73.99459076]","[40.784519200000005, -73.97367096]",39
8439,Operations Communication Team,0,5,12,218.016,557,212.05,6,"[40.82918167, -73.93882751]","[40.72937012, -73.98986816]",55
8440,Operations Communication Team,0,8,22,145.344,162,53.7,33.5,"[40.64691162, -73.78704834]","[40.78115082, -73.9495697]",32
8441,Operations Communication Team,0,83,90,24.224,525,230.75,16,"[40.72151566, -73.98368835]","[40.74050903, -73.97915649]",39
8442,Operations Communication Team,1,7,47,36.336,600,168.55,40.5,"[40.75138855, -73.9786377]","[40.76895142, -73.98516083]",22
8443,Operations Communication Team,1,19,75,181.68,768,382.8,12,"[40.72621155, -73.98042297]","[40.78274536, -73.95953369]",23
8444,Operations Communication Team,0,60,38,314.912,451,392.4,34,"[40.72902679, -73.9992218]","[40.76081085, -73.96105194]",59
8445,Operations Communication Team,0,96,54,157.456,619,942.7,21.5,"[40.758514399999996, -73.97726440000001]","[40.75032806, -73.97471619]",26
